firstInteractive-FCP_std (ms),firstInteractive-FCP_min (ms),firstInteractive-FMP-ReverseSearch_avg (ms),firstInteractive-FMP-ReverseSearch_std (ms),firstInteractive-FCP-ReverseSearch_max (ms),firstInteractive-FMP-Network_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_max (ms),firstInteractive-FMP-Network_min (ms),firstInteractive-FMP-Network_max (ms),timeToFirstInteractive_max (ms),firstInteractive-FCP-ReverseSearch_min (ms),firstInteractive-StartNav_avg (ms),firstInteractive-StartNav_min (ms),firstInteractive-FMP_std (ms),firstInteractive-StartNav-ReverseSearch_max (ms),timeToFirstMeaningfulPaint_min (ms),timeToFirstMeaningfulPaint_max (ms),page_name,timeToOnload_min (ms),timeToOnload_avg (ms),timeToFirstInteractive_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_std (ms),firstInteractive-StartNav-ReverseSearch_min (ms),firstInteractive-FCP_avg (ms),timeToOnload_max (ms),firstInteractive-FMP-ReverseSearch_max (ms),firstInteractive-StartNav_max (ms),trace,firstInteractive-FMP-Network_std (ms),timeToFirstMeaningfulPaint_avg (ms),timeToFirstContentfulPaint_std (ms),firstInteractive-FCP-ReverseSearch_avg (ms),timeToFirstContentfulPaint_max (ms),timeToOnload_std (ms),timeToFirstInteractive_std (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_avg (ms),firstInteractive-FMP-ReverseSearch_min (ms),firstInteractive-FCP_max (ms),firstInteractive-FMP_min (ms),firstInteractive-FMP_avg (ms),timeToFirstMeaningfulPaint_std (ms),timeToFirstInteractive_min (ms),firstInteractive-StartNav_std (ms),firstInteractive-StartNav-ReverseSearch_avg (ms),timeToFirstContentfulPaint_min (ms),firstInteractive-FCP-ReverseSearch_std (ms),firstInteractive-FMP_max (ms),firstInteractive-StartNav-ReverseSearch_std (ms),timeToFirstContentfulPaint_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_min (ms)
0.0,28571.46363150114,49584.050631501355,0.0,49584.050631501355,49584.050631501355,49584.050631501355,49584.050631501355,49584.050631501355,21126.07600000007,49584.050631501355,7395.387631501071,7395.387631501071,0.0,49584.050631501355,13551.806000000332,13551.806000000332,http://www.vodafone.com.eg (#36),37091.200000000186,37091.200000000186,21126.07600000007,0.0,49584.050631501355,28571.46363150114,37091.200000000186,49584.050631501355,7395.387631501071,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_08-35-33-46811.html,0.0,13551.806000000332,0.0,49584.050631501355,13551.74300000025,0.0,0.0,49584.050631501355,49584.050631501355,28571.46363150114,28571.46363150114,28571.46363150114,0.0,21126.07600000007,0.0,49584.050631501355,13551.74300000025,0.0,28571.46363150114,0.0,13551.74300000025,49584.050631501355
0.0,25792.870708504946,25792.870708504946,0.0,25792.870708504946,27973.86970850426,25792.870708504946,27973.86970850426,27973.86970850426,18567.586999999614,25792.870708504946,7175.2837085053325,7175.2837085053325,0.0,25792.870708504946,13944.550999999046,13944.550999999046,http://www.freshnewsasia.com (#96),25052.520999999717,25052.520999999717,18567.586999999614,0.0,25792.870708504946,25792.870708504946,25052.520999999717,25792.870708504946,7175.2837085053325,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_10-48-35-40264.html,0.0,13944.550999999046,0.0,25792.870708504946,13279.246999999508,0.0,0.0,25792.870708504946,25792.870708504946,25792.870708504946,25792.870708504946,25792.870708504946,0.0,18567.586999999614,0.0,25792.870708504946,13279.246999999508,0.0,25792.870708504946,0.0,13279.246999999508,25792.870708504946
0.0,17312.64099250175,17312.64099250175,0.0,17312.64099250175,17312.64099250175,17312.64099250175,17312.64099250175,17312.64099250175,9649.23099999968,17312.64099250175,14079.563992501857,7613.409992502071,0.0,17312.64099250175,5791.985999999568,5791.985999999568,http://www.search-results.com (#71),11982.789999999106,11982.789999999106,9649.23099999968,0.0,17312.64099250175,17312.64099250175,11982.789999999106,17312.64099250175,17312.64099250175,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_09-45-29-86675.html,0.0,5791.985999999568,0.0,17312.64099250175,5791.925999999978,0.0,0.0,17312.64099250175,17312.64099250175,17312.64099250175,17312.64099250175,17312.64099250175,0.0,9649.23099999968,5599.853628782178,17312.64099250175,5791.925999999978,0.0,17312.64099250175,0.0,5791.925999999978,17312.64099250175
0.0,35431.052303999706,47847.79930399866,0.0,47847.79930399866,49235.80930399933,47847.79930399866,49235.80930399933,49235.80930399933,28048.98799999994,47847.79930399866,27589.931803999214,7332.064303999767,0.0,47847.79930399866,20766.929999999702,20766.929999999702,http://www.pantip.com (#33),39913.43400000036,39913.43400000036,28048.98799999994,0.0,47847.79930399866,35431.052303999706,39913.43400000036,47847.79930399866,47847.79930399866,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_08-33-14-28926.html,0.0,20766.929999999702,0.0,47847.79930399866,19599.851999999955,0.0,0.0,47847.79930399866,47847.79930399866,35431.052303999706,35431.052303999706,35431.052303999706,0.0,28048.98799999994,28648.950963256364,47847.79930399866,19599.851999999955,0.0,35431.052303999706,0.0,19599.851999999955,47847.79930399866
0.0,34775.49160599656,,,,44818.16160599616,43768.8016059965,44818.16160599616,44818.16160599616,27554.41699999891,,25469.938105997076,7171.074605997652,0.0,,20619.49699999951,20619.49699999951,http://www.pantip.com (#44),53195.745999999344,53195.745999999344,27554.41699999891,0.0,,34775.49160599656,53195.745999999344,,43768.8016059965,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_09-01-33-83786.html,0.0,20619.49699999951,0.0,,19460.7229999993,0.0,0.0,43768.8016059965,,34775.49160599656,34775.49160599656,34775.49160599656,0.0,27554.41699999891,25878.50093771319,,19460.7229999993,,34775.49160599656,,19460.7229999993,43768.8016059965
0.0,25063.996463004605,25063.996463004605,0.0,25063.996463004605,27806.50746300441,25063.996463004605,27806.50746300441,27806.50746300441,17761.37000000115,25063.996463004605,7252.626463003457,7252.626463003457,0.0,25063.996463004605,7647.029000001028,7647.029000001028,http://www.baidu.com (#70),20675.097000001,20675.097000001,17761.37000000115,0.0,25063.996463004605,25063.996463004605,20675.097000001,25063.996463004605,7252.626463003457,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_09-48-25-13975.html,0.0,7647.029000001028,0.0,25063.996463004605,7646.968000000343,0.0,0.0,25063.996463004605,25063.996463004605,25063.996463004605,25063.996463004605,25063.996463004605,0.0,17761.37000000115,0.0,25063.996463004605,7646.968000000343,0.0,25063.996463004605,0.0,7646.968000000343,25063.996463004605
0.0,23531.065218992368,23531.065218992368,0.0,23531.065218992368,25722.0872189925,23531.065218992368,25722.0872189925,25722.0872189925,16314.192999999806,23531.065218992368,7166.872218992561,7166.872218992561,0.0,23531.065218992368,11697.504000000656,11697.504000000656,http://www.freshnewsasia.com (#88),22903.72000000067,22903.72000000067,16314.192999999806,0.0,23531.065218992368,23531.065218992368,22903.72000000067,23531.065218992368,7166.872218992561,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_10-28-58-59770.html,0.0,11697.504000000656,0.0,23531.065218992368,11052.219000000507,0.0,0.0,23531.065218992368,23531.065218992368,23531.065218992368,23531.065218992368,23531.065218992368,0.0,16314.192999999806,0.0,23531.065218992368,11052.219000000507,0.0,23531.065218992368,0.0,11052.219000000507,23531.065218992368
0.0,18911.271467998744,29342.053468000413,0.0,29342.053468000413,29342.053468000413,29342.053468000413,29342.053468000413,29342.053468000413,11386.859999999524,29342.053468000413,7474.41146799922,7474.41146799922,0.0,29342.053468000413,9621.847000000998,9621.847000000998,http://www.vfsglobal.com (#57),22288.268000001088,22288.268000001088,11386.859999999524,0.0,29342.053468000413,18911.271467998744,22288.268000001088,29342.053468000413,7474.41146799922,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_09-23-04-7573.html,0.0,9621.847000000998,0.0,29342.053468000413,9621.783999999985,0.0,0.0,29342.053468000413,29342.053468000413,18911.271467998744,18911.271467998744,18911.271467998744,0.0,11386.859999999524,0.0,29342.053468000413,9621.783999999985,0.0,18911.271467998744,0.0,9621.783999999985,29342.053468000413
0.0,22217.13810550043,22217.13810550043,0.0,22217.13810550043,24959.519105499596,22217.13810550043,24959.519105499596,24959.519105499596,14733.02400000015,22217.13810550043,22217.13810550043,22217.13810550043,0.0,22217.13810550043,4789.292999999598,4789.292999999598,http://www.baidu.com (#66),17698.748999999836,17698.748999999836,14733.02400000015,0.0,22217.13810550043,22217.13810550043,17698.748999999836,22217.13810550043,22217.13810550043,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_09-38-18-91864.html,0.0,4789.292999999598,0.0,22217.13810550043,4789.228000000119,0.0,0.0,22217.13810550043,22217.13810550043,22217.13810550043,22217.13810550043,22217.13810550043,0.0,14733.02400000015,0.0,22217.13810550043,4789.228000000119,0.0,22217.13810550043,0.0,4789.228000000119,22217.13810550043
0.0,18458.607708996653,18458.607708996653,0.0,18458.607708996653,18458.607708996653,18458.607708996653,18458.607708996653,18458.607708996653,11231.172999999046,18458.607708996653,7177.434708997607,7177.434708997607,0.0,18458.607708996653,8291.352999998257,8291.352999998257,http://www.nowvideo.li (#94),12138.719999998808,12138.719999998808,11231.172999999046,0.0,18458.607708996653,18458.607708996653,12138.719999998808,18458.607708996653,7177.434708997607,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_10-34-15-41537.html,0.0,8291.352999998257,0.0,18458.607708996653,8291.232999999076,0.0,0.0,18458.607708996653,18458.607708996653,18458.607708996653,18458.607708996653,18458.607708996653,0.0,11231.172999999046,0.0,18458.607708996653,8291.232999999076,0.0,18458.607708996653,0.0,8291.232999999076,18458.607708996653
