firstInteractive-FCP_std (ms),firstInteractive-FCP_min (ms),firstInteractive-FMP-ReverseSearch_avg (ms),firstInteractive-FMP-ReverseSearch_std (ms),firstInteractive-FCP-ReverseSearch_max (ms),firstInteractive-FMP-Network_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_max (ms),firstInteractive-FMP-Network_min (ms),firstInteractive-FMP-Network_max (ms),timeToFirstInteractive_max (ms),firstInteractive-FCP-ReverseSearch_min (ms),firstInteractive-StartNav_avg (ms),firstInteractive-StartNav_min (ms),firstInteractive-FMP_std (ms),firstInteractive-StartNav-ReverseSearch_max (ms),timeToFirstMeaningfulPaint_min (ms),timeToFirstMeaningfulPaint_max (ms),page_name,timeToOnload_min (ms),timeToOnload_avg (ms),timeToFirstInteractive_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_std (ms),firstInteractive-StartNav-ReverseSearch_min (ms),firstInteractive-FCP_avg (ms),timeToOnload_max (ms),firstInteractive-FMP-ReverseSearch_max (ms),firstInteractive-StartNav_max (ms),trace,firstInteractive-FMP-Network_std (ms),timeToFirstMeaningfulPaint_avg (ms),timeToFirstContentfulPaint_std (ms),firstInteractive-FCP-ReverseSearch_avg (ms),timeToFirstContentfulPaint_max (ms),timeToOnload_std (ms),timeToFirstInteractive_std (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_avg (ms),firstInteractive-FMP-ReverseSearch_min (ms),firstInteractive-FCP_max (ms),firstInteractive-FMP_min (ms),firstInteractive-FMP_avg (ms),timeToFirstMeaningfulPaint_std (ms),timeToFirstInteractive_min (ms),firstInteractive-StartNav_std (ms),firstInteractive-StartNav-ReverseSearch_avg (ms),timeToFirstContentfulPaint_min (ms),firstInteractive-FCP-ReverseSearch_std (ms),firstInteractive-FMP_max (ms),firstInteractive-StartNav-ReverseSearch_std (ms),timeToFirstContentfulPaint_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_min (ms)
0.0,48151.50651499811,48151.50651499811,0.0,48151.50651499811,49673.99851499818,48151.50651499811,49673.99851499818,49673.99851499818,40992.191999999995,48151.50651499811,44994.414822690414,7109.314514998114,0.0,48151.50651499811,22363.137000000104,22363.137000000104,https://www.nasa.gov/ (#70),35390.997999999905,35390.997999999905,40992.191999999995,0.0,48151.50651499811,48151.50651499811,35390.997999999905,48151.50651499811,48151.50651499811,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_17-44-38-15741.html,0.0,22363.137000000104,0.0,48151.50651499811,22363.01099999994,0.0,0.0,48151.50651499811,48151.50651499811,48151.50651499811,48151.50651499811,48151.50651499811,0.0,40992.191999999995,11383.055977956763,48151.50651499811,22363.01099999994,0.0,48151.50651499811,0.0,22363.01099999994,48151.50651499811
0.0,25714.559927499264,69654.11292749898,0.0,69654.11292749898,83939.55792749919,69654.11292749898,83939.55792749919,83939.55792749919,62352.799999999566,69654.11292749898,38452.7129274992,7251.3129274994135,0.0,69654.11292749898,25117.348999999464,25117.348999999464,http://www.goo-net.com (#44),62226.185999999754,62226.185999999754,62352.799999999566,0.0,69654.11292749898,25714.559927499264,62226.185999999754,69654.11292749898,69654.11292749898,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_15-13-29-10955.html,0.0,25117.348999999464,0.0,69654.11292749898,16900.77400000021,0.0,0.0,69654.11292749898,69654.11292749898,25714.559927499264,69654.11292749898,69654.11292749898,0.0,62352.799999999566,44125.44304502758,69654.11292749898,16900.77400000021,0.0,69654.11292749898,0.0,16900.77400000021,69654.11292749898
0.0,19702.452618001385,40544.149618002055,0.0,40544.149618002055,55528.94561800166,40544.149618002055,55528.94561800166,55528.94561800166,11409.19299999997,40544.149618002055,22614.306546572963,8255.431618001312,0.0,40544.149618002055,11409.19299999997,11409.19299999997,http://www.npr.org/ (#81),19100.075000001118,19100.075000001118,11409.19299999997,0.0,40544.149618002055,19702.452618001385,19100.075000001118,40544.149618002055,40544.149618002055,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_16-38-46-78863.html,0.0,11409.19299999997,0.0,40544.149618002055,10520.547000000253,0.0,0.0,40544.149618002055,40544.149618002055,19702.452618001385,19702.452618001385,19702.452618001385,0.0,11409.19299999997,8361.33239176236,40544.149618002055,10520.547000000253,0.0,19702.452618001385,0.0,10520.547000000253,40544.149618002055
0.0,36165.05850850357,45510.318508502765,0.0,45510.318508502765,47215.28950850339,45510.318508502765,47215.28950850339,47215.28950850339,28575.664000000193,45510.318508502765,33681.27250850312,7539.394508503377,0.0,45510.318508502765,13665.805999999866,13665.805999999866,http://www.colourlovers.com (#45),37711.32599999942,37711.32599999942,28575.664000000193,0.0,45510.318508502765,36165.05850850357,37711.32599999942,45510.318508502765,45510.318508502765,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_15-08-47-34909.html,0.0,13665.805999999866,0.0,45510.318508502765,13682.80700000003,0.0,0.0,45510.318508502765,45510.318508502765,36165.05850850357,36165.05850850357,36165.05850850357,0.0,28575.664000000193,17976.091870415774,45510.318508502765,13682.80700000003,0.0,36165.05850850357,0.0,13682.80700000003,45510.318508502765
0.0,24961.58453700024,84266.8175370006,0.0,84266.8175370006,90760.43153700046,84266.8175370006,90760.43153700046,90760.43153700046,62255.56199999942,84266.8175370006,38367.272537000696,7214.491537000984,0.0,84266.8175370006,24213.876999999397,24213.876999999397,http://www.goo-net.com (#32),62082.911999999546,62082.911999999546,62255.56199999942,0.0,84266.8175370006,24961.58453700024,62082.911999999546,84266.8175370006,69520.0535370004,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_14-38-04-50311.html,0.0,24213.876999999397,0.0,84266.8175370006,16369.546999999322,0.0,0.0,84266.8175370006,84266.8175370006,24961.58453700024,69520.0535370004,69520.0535370004,0.0,62255.56199999942,44056.68539583846,84266.8175370006,16369.546999999322,0.0,69520.0535370004,0.0,16369.546999999322,84266.8175370006
0.0,59738.10430200063,,,,,,,,52370.66899999991,,33527.76980200068,7317.435302000726,0.0,,15076.715000000084,15076.715000000084,http://www.newsweek.pl (#12),63882.80000000005,63882.80000000005,52370.66899999991,,,59738.10430200063,63882.80000000005,,59738.10430200063,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_13-42-07-79815.html,,15076.715000000084,0.0,,15074.840000000084,0.0,0.0,,,59738.10430200063,59738.10430200063,59738.10430200063,0.0,52370.66899999991,37067.01052423537,,15074.840000000084,,59738.10430200063,,15074.840000000084,
0.0,47163.208394001005,,,,,,,,21540.418000000296,,44060.34930309192,13031.758394001052,0.0,13031.758394001052,16428.3479999993,16428.3479999993,http://www.ballotpedia.org (#86),12534.934999998659,12534.934999998659,21540.418000000296,,13031.758394001052,47163.208394001005,12534.934999998659,,47163.208394001005,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_17-05-13-62885.html,,16428.3479999993,0.0,,11962.36999999918,0.0,0.0,,,47163.208394001005,47163.208394001005,47163.208394001005,0.0,21540.418000000296,10291.019381888698,13031.758394001052,11962.36999999918,,47163.208394001005,0.0,11962.36999999918,
0.0,50542.81680599831,,,,50542.81680599831,50542.81680599831,50542.81680599831,50542.81680599831,43479.07299999937,,50542.81680599831,50542.81680599831,0.0,,7185.248999999836,7185.248999999836,http://www.bleacherreport.com (#88),38848.44800000079,38848.44800000079,43479.07299999937,0.0,,50542.81680599831,38848.44800000079,,50542.81680599831,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_16-58-57-14301.html,0.0,7185.248999999836,0.0,,6726.264000000432,0.0,0.0,50542.81680599831,,50542.81680599831,50542.81680599831,50542.81680599831,0.0,43479.07299999937,0.0,,6726.264000000432,,50542.81680599831,,6726.264000000432,50542.81680599831
0.0,64464.77684799933,64464.77684799933,0.0,64464.77684799933,66155.61184799933,64464.77684799933,66155.61184799933,66155.61184799933,56572.36800000004,64464.77684799933,7842.408847999293,7842.408847999293,0.0,64464.77684799933,14918.687000000384,14918.687000000384,http://www.newsweek.pl (#24),46384.450000000186,46384.450000000186,56572.36800000004,0.0,64464.77684799933,64464.77684799933,46384.450000000186,64464.77684799933,7842.408847999293,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_14-12-55-56685.html,0.0,14918.687000000384,0.0,64464.77684799933,14913.50400000019,0.0,0.0,64464.77684799933,64464.77684799933,64464.77684799933,64464.77684799933,64464.77684799933,0.0,56572.36800000004,0.0,64464.77684799933,14913.50400000019,0.0,64464.77684799933,0.0,14913.50400000019,64464.77684799933
0.0,38339.20841349992,59480.88541349994,0.0,59480.88541349994,41725.72041349982,38339.20841349992,41725.72041349982,41725.72041349982,30469.506000000096,59480.88541349994,23079.45541349987,7819.702413499821,0.0,59480.88541349994,27123.873000000138,27123.873000000138,https://vine.co/ (#77),18736.381000000052,18736.381000000052,30469.506000000096,0.0,59480.88541349994,38339.20841349992,18736.381000000052,59480.88541349994,38339.20841349992,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_18-00-42-12776.html,0.0,27123.873000000138,0.0,59480.88541349994,27123.688000000082,0.0,0.0,38339.20841349992,59480.88541349994,38339.20841349992,38339.20841349992,38339.20841349992,0.0,30469.506000000096,21580.549651063593,59480.88541349994,27123.688000000082,0.0,38339.20841349992,0.0,27123.688000000082,38339.20841349992
